observation_date,Close,Open
2000-01-01,5.71999979019165,5.230000019073486
2000-04-01,5.699999809265137,5.710000038146973
2000-07-01,6.03000020980835,5.710000038146973
2000-10-01,5.730000019073486,6.03000020980835
2001-01-01,4.179999828338623,5.710000038146973
2001-04-01,3.559999942779541,4.170000076293945
2001-07-01,2.299999952316284,3.630000114440918
2001-10-01,1.6699999570846558,2.309999942779541
2002-01-01,1.7400000095367432,1.7000000476837158
2002-04-01,1.659000039100647,1.75
2002-07-01,1.5269999504089355,1.656999945640564
2002-10-01,1.1820000410079956,1.531999945640564
2003-01-01,1.090000033378601,1.187000036239624
2003-04-01,0.8379999995231628,1.097000002861023
2003-07-01,0.9259999990463257,0.8820000290870667
2003-10-01,0.9070000052452087,0.9100000262260437
2004-01-01,0.9229999780654907,0.9070000052452087
2004-04-01,1.3029999732971191,0.921999990940094
2004-07-01,1.6740000247955322,1.2699999809265137
2004-10-01,2.181999921798706,1.6679999828338623
2005-01-01,2.7219998836517334,2.1989998817443848
2005-04-01,3.059999942779541,2.7269999980926514
2005-07-01,3.4700000286102295,3.059999942779541
2005-10-01,3.984999895095825,3.4749999046325684
2006-01-01,4.514999866485596,4.025000095367432
2006-04-01,4.860000133514404,4.514999866485596
2006-07-01,4.760000228881836,4.885000228881836
2006-10-01,4.885000228881836,4.775000095367432
2007-01-01,4.894999980926514,4.920000076293945
2007-04-01,4.670000076293945,4.889999866485596
2007-07-01,3.700000047683716,4.715000152587891
2007-10-01,3.140000104904175,3.809999942779541
2008-01-01,1.274999976158142,3.265000104904175
2008-04-01,1.7050000429153442,1.3799999952316284
2008-07-01,0.8999999761581421,1.8300000429153442
2008-10-01,0.11500000208616257,0.75
2009-01-01,0.20000000298023224,0.0949999988079071
2009-04-01,0.18000000715255737,0.20499999821186066
2009-07-01,0.11500000208616257,0.17499999701976776
2009-10-01,0.05000000074505806,0.0949999988079071
2010-01-01,0.15000000596046448,0.07999999821186066
2010-04-01,0.17000000178813934,0.15000000596046448
2010-07-01,0.1550000011920929,0.17000000178813934
2010-10-01,0.11500000208616257,0.1550000011920929
2011-01-01,0.09000000357627869,0.13500000536441803
2011-04-01,0.014999999664723873,0.04500000178813934
2011-07-01,0.009999999776482582,0.02500000037252903
2011-10-01,0.004999999888241291,0.014999999664723873
2012-01-01,0.06499999761581421,0.014999999664723873
2012-04-01,0.07999999821186066,0.06499999761581421
2012-07-01,0.09000000357627869,0.08500000089406967
2012-10-01,0.03500000014901161,0.09000000357627869
2013-01-01,0.06499999761581421,0.052000001072883606
2013-04-01,0.029999999329447746,0.07000000029802322
2013-07-01,0.004999999888241291,0.03500000014901161
2013-10-01,0.06300000101327896,0.009999999776482582
2014-01-01,0.02800000086426735,0.05999999865889549
2014-04-01,0.019999999552965164,0.03999999910593033
2014-07-01,0.013000000268220901,0.032999999821186066
2014-10-01,0.03700000047683716,0.014999999664723873
2015-01-01,0.02500000037252903,0.029999999329447746
2015-04-01,0.009999999776482582,0.02800000086426735
2015-07-01,0.004999999888241291,0.00800000037997961
2015-10-01,0.14800000190734863,0.003000000026077032
2016-01-01,0.19300000369548798,0.16500000655651093
2016-04-01,0.24799999594688416,0.19300000369548798
2016-07-01,0.25999999046325684,0.24300000071525574
2016-10-01,0.47999998927116394,0.27300000190734863
2017-01-01,0.7379999756813049,0.4880000054836273
2017-04-01,0.9929999709129333,0.7400000095367432
2017-07-01,1.027999997138977,1.0
2017-10-01,1.3550000190734863,1.0329999923706055
2018-01-01,1.6699999570846558,1.3880000114440918
2018-04-01,1.8799999952316284,1.6829999685287476
2018-07-01,2.1500000953674316,1.875
2018-10-01,2.299999952316284,2.1579999923706055
2019-01-01,2.328000068664551,2.3949999809265137
2019-04-01,2.0350000858306885,2.3429999351501465
2019-07-01,1.7699999809265137,2.055000066757202
2019-10-01,1.5049999952316284,1.8049999475479126
2020-01-01,0.029999999329447746,1.5099999904632568
2020-04-01,0.13500000536441803,0.08500000089406967
2020-07-01,0.08500000089406967,0.13500000536441803
2020-10-01,0.06499999761581421,0.08799999952316284
2021-01-01,0.013000000268220901,0.06800000369548798
2021-04-01,0.03999999910593033,0.009999999776482582
2021-07-01,0.02800000086426735,0.03999999910593033
2021-10-01,0.032999999821186066,0.029999999329447746
2022-01-01,0.49300000071525574,0.05000000074505806
2022-04-01,1.600000023841858,0.49799999594688416
2022-07-01,3.180000066757202,1.6100000143051147
2022-10-01,4.260000228881836,3.1649999618530273
