Date,Open,price_with_put,SPY
2022-01-03 00:00:00-05:00,100.0,100.0,100.00000000000001
2022-01-04 00:00:00-05:00,101.11384345910943,101.03228329354552,100.6130546614053
2022-01-05 00:00:00-05:00,102.24667116427419,102.09739883281925,100.18055197649845
2022-01-06 00:00:00-05:00,100.5085649827786,100.61331020189654,98.23430966816764
2022-01-07 00:00:00-05:00,100.57498889150682,100.68708209032846,98.24689536707903
2022-01-10 00:00:00-05:00,99.27565487023226,99.655028272512,97.14465733044939
2022-01-11 00:00:00-05:00,99.99370310519204,100.22316480843027,97.67582604404703
2022-01-12 00:00:00-05:00,101.2659769502195,101.40256079154221,99.01112781387894
2022-01-13 00:00:00-05:00,101.30202669972535,101.41205325991531,99.13710095932414
2022-01-14 00:00:00-05:00,99.21267858007252,99.76022334908723,96.82763711732956
2022-01-18 00:00:00-05:00,99.72792865007595,100.39868658609305,96.52320271168183
2022-01-19 00:00:00-05:00,100.0467064876626,100.76978644816812,96.18517703491881
2022-01-20 00:00:00-05:00,98.85616195613946,99.86451198144933,95.26559672134793
2022-01-21 00:00:00-05:00,97.48935423747508,99.06699081740547,93.54607253823946
2022-01-24 00:00:00-05:00,95.02126215797017,97.1575902589361,90.7054540490461
2022-01-25 00:00:00-05:00,95.75734127944368,98.03128608154375,90.92169364847678
2022-01-26 00:00:00-05:00,98.79973019781443,100.27766740556554,92.52992731363835
2022-01-27 00:00:00-05:00,99.70214544422436,100.74944159284476,92.01342713035227
2022-01-28 00:00:00-05:00,97.93419967040406,99.72204424187613,90.8419034658728
2022-01-31 00:00:00-05:00,99.45649824724354,100.60694983613591,92.6390961729815
2022-02-01 00:00:00-05:00,101.90996031050928,102.37637414119965,94.62104007811254
2022-02-02 00:00:00-05:00,103.56930326061939,103.82847405958557,95.63301383293036
2022-02-03 00:00:00-05:00,103.27711075703085,103.59642683079326,94.67773123366142
2022-02-04 00:00:00-05:00,102.4402147605437,103.13192100279291,93.71194343767984
