Date,Open,price_with_put,SPY
2023-01-03 00:00:00-05:00,100.0,100.0,100.0
2023-01-04 00:00:00-05:00,98.70885169299551,98.95022976332841,99.69041712936385
2023-01-05 00:00:00-05:00,98.22201707782207,98.61624343342207,99.31057609350923
2023-01-06 00:00:00-05:00,98.52464417071964,98.87963827198763,99.54211047886601
2023-01-09 00:00:00-05:00,99.02989704041083,98.9733732356824,101.56101693654242
2023-01-10 00:00:00-05:00,97.44429997198726,97.90871362479774,100.74928963300961
2023-01-11 00:00:00-05:00,98.59021699469591,98.68259757013328,102.04491869546443
2023-01-12 00:00:00-05:00,99.46365477435123,99.271788909572,103.20005039605837
2023-01-13 00:00:00-05:00,97.82683020479371,98.03335373923088,102.40654576564768
2023-01-17 00:00:00-05:00,99.068142772915,98.8701407525692,103.67093848672363
2023-01-18 00:00:00-05:00,99.41074016893347,99.24240424591727,103.80885378143253
2023-01-19 00:00:00-05:00,97.77387246966136,97.98952266085345,101.2982298761357
2023-01-20 00:00:00-05:00,98.06249936607367,98.33840687659625,101.49076249444538
2023-01-23 00:00:00-05:00,99.79619086203601,99.73982539823447,103.21306409717096
2023-01-24 00:00:00-05:00,100.55236493337414,100.41396556840574,103.77501820867724
2023-01-25 00:00:00-05:00,100.8385309707561,100.5253926619172,103.01272756040439
2023-01-26 00:00:00-05:00,102.83470308569096,102.07066878773428,104.88074394324974
2023-01-27 00:00:00-05:00,103.13662893621591,102.35136938261529,105.01860838487573
2023-01-30 00:00:00-05:00,103.47971520747548,102.64956674372287,104.79486823307333
2023-01-31 00:00:00-05:00,102.48160756841217,101.7855956187458,104.36039741522943
2023-02-01 00:00:00-05:00,103.36606727703293,102.53492391074745,105.42188571685664
2023-02-02 00:00:00-05:00,105.28495308765098,104.6015376348283,107.93246318709723
2023-02-03 00:00:00-05:00,104.67642960656838,104.0240080542472,107.0817244326169
2023-02-06 00:00:00-05:00,105.32786693524669,104.25986696854528,106.61343089638233
2023-02-07 00:00:00-05:00,106.56899436620779,105.53053277261033,106.37406712912717
2023-02-08 00:00:00-05:00,106.84529325035791,105.76853020854556,107.48238565122305
2023-02-09 00:00:00-05:00,107.58736070108998,106.33593654991088,107.8153897039722
